ENTERPRISE_RISK_ID,ENCODED_TERMS
7,11052757223040170261227673701991233445812165701454947655
7,11630184294034318523845937262470026979968829288847963658628568606023
7,12156343949282648387917077245486912818989187213038443764284245566791
7,11630184294034318523845937262469980249297102475399306884161605625159
1,1173992798535831925916455067796156421151136099391166686351328084088538905441637349148354966789196030274625978144979641682
1,8386618538186326354
7,129429322644910093519327399679194887284804584666634922947349473384896752965
7,214539033208915599962162320283339918697774341726985690411171959976433624424437516429379
7,8482280088856827888882640465375716133096953276268873015686906614197262037316677
7,129429322644910093519327399679194884570521017273836710479074181882270934355
7,50453699783826106645906024708476009177468976395753562178771322655767354411858894441112914
7,3997353926314982297069579788812648529769232065003654228527166240390146710665344832840512139801578215455147113994216786
7,2171463702747347939553955959136183330072820045303655340324009433526831725982869826
7,876133131029913277175834039166715107291179735052381752636170360372509898821470152007
7,14695103961152510475653737645701542524708270470738841381904298317893064082449086147217088836
7,2888825093547146060287048963515841375273119220432130190405305670239238589321409104
7,16157437676664342262074933096563752990816075164811737273975141483689695493050530513585372905647287723073
7,3761056424812651750681435110022941808887544295276995716916941330784029652054075527845396891969
7,7714588799769287915189707260083847318322719173064035801776175670604
7,1291301433339620705486439984210549963926648368527062830609262300528378344308071340146850978233761500644336626993247129058115727945289
7,226187338625276207091354825364232338731131636352243861545508988467926398631427355600199
7,3763345101938048115534769051817211253491662459771467114460052417634324486255207553613822970177
